"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"16","3","367","","4880","1","AQ093","94","1"
"17","3","368","","4869","0","AQ091","4","1"
"16","3","369","","4875","1","AQ048","102",""
"3","3","370","","5009","0","AQ130","195","1"
"25","3","371","","4948","1","AQ053","150",""
"25","3","372","","4947","1","AQ086","198",""
"25","3","373","","5116","1","AQ027","170",""
"25","3","374","","4953","1","AQ006","70",""
"25","3","375","","4950","1","AQ019","138",""
"25","3","376","","4952","0","AQ006","69",""
"25","3","377","","4951","1","AQ055","105",""
"23","3","378","","4669","0","AQ055","15",""
"16","3","379","","4889","1","AQ093","94","1"
"17","3","380","","4838","0","AQ100","4","1"
"17","3","381","","4836","0","AQ100","4","1"
"5","3","382","","4230","0","AQ045","129",""
"5","3","383","","4229","0","AQ045","128",""
"5","3","384","","4228","0","AQ045","127",""
"21","3","385","","4164","1","AQ051","47",""
"23","3","386","","4670","0","AQ073","15",""
"23","3","387","","4668","0","AQ073","15",""
"23","3","388","","4673","0","AQ029","15",""
"23","3","389","","4671","0","AQ055","15",""
"23","3","390","","4674","0","AQ028","15",""
"23","3","391","","4677","1","AQ073","16",""
"17","3","392","","4841","0","AQ091","4","1"
"17","3","393","","4837","0","AQ100","4","1"
"17","3","394","","4835","0","AQ100","4","1"
"17","3","395","","4847","0","AQ091","4","1"
"17","3","396","","4844","0","AQ091","4","1"
"17","3","397","","4842","0","AQ091","4","1"
"21","3","398","","4165","1","AQ051","47",""
"25","3","399","","4942","0","AQ040","120",""
"25","3","400","","4944","0","AQ043","177",""
"25","3","401","","4945","0","AQ126","152",""
"25","3","402","","4946","0","AQ086","197",""
"25","3","403","","4941","1","AQ083","182",""
"25","3","404","","4939","0","AQ037","58",""
"25","3","405","","4940","0","AQ083","181",""
"23","3","406","","3929","0","AQ061","214",""
"2","3","407","","4986","1","AQ129","190","1"
"4","3","408","","5093","1","AQ110","123",""
"23","3","409","","5100","1","AQ118","146",""
"23","3","410","","5092","0","AQ114","110",""
"4","3","411","","5095","1","AQ111","185",""
"4","3","412","","5097","0","AQ030","227",""
"4","3","413","","5098","0","AQ124","81",""
"4","3","414","","5099","0","AQ034","43",""
"4","3","415","","5101","0","AQ076","43",""
"4","3","416","","5096","0","AQ105","43",""
"2","3","417","","4963","0","AQ129","191","1"
"21","3","418","","4161","1","AQ031","47",""
"21","3","419","","4162","1","AQ104","47",""
"9","3","420","","4700","0","AQ068","41",""
"23","3","421","","4676","0","AQ018","15",""
"23","3","422","","4678","1","AQ042","16",""
"23","3","423","","4672","0","AQ020","15",""
"23","3","424","","4681","1","AQ029","16",""
"17","3","425","","4845","0","AQ091","4","1"
"17","3","426","","4843","0","AQ091","4","1"
"17","3","427","","4846","0","AQ091","4","1"
"17","3","428","","4849","0","AQ091","4","1"
"9","3","429","","4699","0","AQ024","41",""
"9","3","430","","4694","0","AQ041","1",""
"9","3","431","","4707","1","AQ113","135",""
"23","3","432","","4679","1","AQ055","16",""
"23","3","433","","4680","1","AQ020","16",""
"17","3","434","","4850","0","AQ091","4","1"
"17","3","435","","4848","0","AQ091","4","1"
"17","3","436","","4851","0","AQ091","4","1"
"23","3","437","","4009","1","AQ004","74",""
"23","3","438","","4012","1","AQ013","74",""
"23","3","439","","4010","1","AQ020","12",""
"15","3","440","","4954","0","AQ096","200","1"
"15","3","441","","4957","0","AQ123","65","1"
"15","3","442","","5087","0","AQ113","28","1"
"15","3","443","","5088","1","AQ113","199",""
"15","3","444","","4961","1","AQ123","66",""
"23","3","445","","4117","0","AQ097","139",""
"19","3","446","","5110","1","AQ027","171",""
"19","3","447","","5106","0","AQ050","77",""
"19","3","448","","5102","0","AQ037","35",""
"15","3","449","","4960","1","AQ119","29",""
"23","3","450","","5100","1","AQ054","146",""
"23","3","451","","4682","1","AQ064","16",""
"23","3","452","","4084","1","AQ011","53",""
"23","3","453","","4675","0","AQ064","15",""
"8","3","454","","5090","0","AQ065","71",""
"25","3","455","","4931","0","AQ074","166",""
"25","3","456","","4930","1","AQ065","92",""
"25","3","457","","4943","1","AQ040","121",""
"25","3","458","","4929","0","AQ065","91",""
"21","3","459","","5084","1","AQ117","183",""
"12","3","460","","5086","1","AQ015","208",""
"14","3","461","","4484","0","AQ108","204",""
"21","3","462","","4184","0","AQ051","46",""
"4","3","463","","5089","0","AQ050","75",""
"15","3","464","","4959","0","AQ119","163","1"
"3","3","465","","5051","1","AQ130","194","1"
"3","3","466","","5053","1","AQ130","194","1"
"3","3","467","","5055","1","AQ130","194","1"
"3","3","468","","5057","1","AQ130","194","1"
"3","3","469","","5059","1","AQ130","194","1"
"3","3","470","","5061","1","AQ130","194","1"
"3","3","471","","5063","1","AQ130","194","1"
"3","3","472","","5065","1","AQ130","194","1"
"2","3","473","","4986","1","AQ129","190","1"
"2","3","474","","4988","1","AQ129","190","1"
"2","3","475","","4990","1","AQ129","190","1"
"2","3","476","","4992","1","AQ129","190","1"
